,Unnamed: 0,Unnamed: 0.1,id,question,desired_answer,student_answer,score_me,score_other,score_avg,t5_score_sowe,t5_score_mowe,t5_small_score_sowe,t5_small_score_mowe,t5_base_score_mowe
0,0,0,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,High risk problems are address in the prototype program to make sure that the program is feasible.  A prototype may also be used to show a company that the software can be possibly programmed.,4.0,3.0,3.5,0.7690972685813904,0.7690973877906799,0.6890231966972351,0.6890231370925903,0.6024781465530396
1,1,1,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,To simulate portions of the desired final product with a quick and easy program that does a small specific job. It is a way to help see what the problem is and how you may solve it in the final project.,5.0,5.0,5.0,0.7786771059036255,0.7786770462989807,0.8092326521873474,0.8092325329780579,0.7205452919006348
2,2,2,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,A prototype program simulates the behaviors of portions of the desired software product to allow for error checking.,5.0,3.0,4.0,0.8803495764732361,0.8803495168685913,0.8355112671852112,0.8355112075805664,0.8370841145515442
3,3,3,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,"Defined in the Specification phase a prototype stimulates the behavior of portions of the desired software product.  Meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving.",5.0,5.0,5.0,0.7950552105903625,0.7950553297996521,0.7513392567634583,0.751339316368103,0.7033318877220154
4,4,4,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,It is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including software specifications and project estimations of the total project.,3.0,3.0,3.0,0.7173097729682922,0.7173097729682922,0.7057335376739502,0.7057335376739502,0.6151534914970398
5,5,5,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,To find problem and errors in a program before it is finalized,2.0,2.0,2.0,0.5139094591140747,0.5139094591140747,0.6365776062011719,0.6365775465965271,0.5094945430755615
6,6,6,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,"To address major issues in the creation of the program. There is no way to account for all possible bugs in the program, but it is possible to prove the program is tangible. ",3.0,2.0,2.5,0.7424660325050354,0.7424659729003906,0.7060362100601196,0.7060363292694092,0.5707241296768188
7,7,7,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,you can break the whole program into prototype programs to simulate parts of the final program,5.0,5.0,5.0,0.6309503316879272,0.6309503316879272,0.6702179312705994,0.6702179908752441,0.5954617261886597
8,8,8,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,#NAME?,5.0,2.0,3.5,0.31819096207618713,0.31819096207618713,0.39182376861572266,0.39182373881340027,0.28881195187568665
9,9,9,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,Simulating the behavior of only a portion of the desired software product.,5.0,5.0,5.0,0.8828868269920349,0.8828867673873901,0.8804096579551697,0.8804097175598145,0.8688927888870239
10,10,10,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,A program that stimulates the behavior of portions of the desired software product.,5.0,5.0,5.0,0.8667684197425842,0.8667683601379395,0.8226388692855835,0.8226388096809387,0.8003222942352295
11,11,11,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,A program that simulates the behavior of portions of the desired software product.,5.0,5.0,5.0,0.9003609418869019,0.9003609418869019,0.8815116882324219,0.8815118074417114,0.8974767327308655
12,12,12,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,To lay out the basics and give you a starting point in the actual problem solving.,2.0,2.0,2.0,0.7556314468383789,0.7556313872337341,0.710931122303009,0.7109310626983643,0.5802249312400818
13,13,13,1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.,To simulate problem solving for parts of the problem,4.0,5.0,4.5,0.5799671411514282,0.5799671411514282,0.7376372814178467,0.7376373410224915,0.47227194905281067
